Time [s], Analyzer Name, Decoded Protocol Result
0.887294750000000,SMBus,Command BatteryMode 0x03
0.887502416666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.887628916666667,SMBus,BatteryMode 0x8480 INTERNAL_CHARGE_CONTROLLER=0, PRIMARY_BATTERY_SUPPORT=0, CONDITION_FLAG=1, CHARGE_CONTROLLER_ENABLED=0, PRIMARY_BATTERY=0, ALARM_MODE=0, CHARGER_MODE=0, CAPACITY_MODE=1
0.887972666666667,SMBus,PEC 0x9C OK
0.900473583333333,SMBus,Write address 0x0B ACK Protocol=Read word
0.900623750000000,SMBus,Command DesignCapacity 0x18
0.900831416666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.900957416666667,SMBus,Word 0xC819 ACK
0.901378583333333,SMBus,PEC 0x10 OK
0.913112416666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.913262583333333,SMBus,Command DesignVoltage 0x19
0.913470250000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.913678250000000,SMBus,Word 0x302A ACK
0.914017083333333,SMBus,PEC 0x23 OK
0.927093166666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.927243333333333,SMBus,Command ManufactureDate 0x1B
0.927451000000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.927661333333333,SMBus,ManufactureDate 0x2A4F 2/15/2001
0.927946750000000,SMBus,PEC 0xE6 OK
0.940383750000000,SMBus,Read address 0x0B ACK
0.940496500000000,SMBus,Bad PEC 0x0E should be 0x65
0.940760750000000,SMBus,Read address 0x0B ACK
0.940906083333333,SMBus,Byte 0xFF ACK
0.941164500000000,SMBus,Byte 0x04 ACK
0.941275750000000,SMBus,Bad PEC 0x89 should be 0x7F
0.954057750000000,SMBus,Write address 0x0B ACK Protocol=Block write
0.954207916666667,SMBus,Command ManufacturerName 0x20
0.954415583333333,SMBus,Read address 0x0B ACK Protocol=Block write
0.954625416666667,SMBus,Byte count 0x04
0.954801500000000,SMBus,Byte 0x53 ACK
0.954980333333333,SMBus,Byte 0x4F ACK
0.955159250000000,SMBus,Byte 0x4E ACK
0.955338166666667,SMBus,Byte 0x59 ACK
0.955515166666667,SMBus,PEC 0x30 OK
0.967028916666667,SMBus,Write address 0x0B ACK Protocol=Block write
0.967179083333333,SMBus,Command DeviceName 0x21
0.967386750000000,SMBus,Read address 0x0B ACK Protocol=Block write
0.967597750000000,SMBus,Byte count 0x0B
0.967772833333333,SMBus,Byte 0x4C ACK
