Time [s], Analyzer Name, Decoded Protocol Result
6.343831583333333,SMBus,Write address 0x0B ACK Protocol=Read word
6.343981666666667,SMBus,Command ManufacturerAccess 0x00
6.344189333333333,SMBus,Read address 0x0B ACK Protocol=Read word
6.344360083333333,SMBus,Word 0x1800 ACK
6.344748583333334,SMBus,PEC 0x32 OK
6.347601333333333,SMBus,Write address 0x0B ACK Protocol=Read word
6.347751500000000,SMBus,Command BatteryStatus 0x16
6.347959166666667,SMBus,Read address 0x0B ACK Protocol=Read word
6.348085750000000,SMBus,BatteryStatus 0xE0C0 OVER CHARGED ALARM=1, TERMINATE CHARGE ALARM=1, OVER TEMP ALARM=0, TERMINATE DISCHARGE ALARM=0, REMAINING CAPACITY ALARM=0, REMAINING TIME ALARM=0, INITIALIZED=1, DISCHARGING=1, FULLY CHARGED=0, FULLY DISCHARGED=0, ErrorCode=OK
6.348442166666667,SMBus,PEC 0xD3 OK
6.349978166666666,SMBus,Write address 0x0B ACK Protocol=Read word
6.350128333333333,SMBus,Command ChargingCurrent 0x14
6.350336000000000,SMBus,Read address 0x0B ACK Protocol=Read word
6.350537000000000,SMBus,Word 0x0000 ACK
6.350819000000000,SMBus,PEC 0xF2 OK
6.352470083333333,SMBus,Write address 0x0B ACK Protocol=Read word
6.352658583333334,SMBus,Command ChargingVoltage 0x15
6.352904583333333,SMBus,Read address 0x0B ACK Protocol=Read word
6.353132000000000,SMBus,Word 0x3831 ACK
6.353528083333333,SMBus,PEC 0x22 OK
6.357351666666666,SMBus,Write address 0x0B ACK Protocol=Read word
6.357540166666666,SMBus,Command Temperature 0x08
6.357747833333334,SMBus,Read address 0x0B ACK Protocol=Read word
6.357873666666666,SMBus,Word 0x920B ACK
6.358218000000000,SMBus,PEC 0x87 OK
6.359792416666667,SMBus,Write address 0x0B ACK Protocol=Read word
6.359942583333333,SMBus,Command <error> 0x3B
6.360150250000000,SMBus,Read address 0x0B ACK Protocol=Read word
6.360276583333333,SMBus,Word 0x920B ACK
6.360709416666666,SMBus,PEC 0x14 OK
6.362322666666667,SMBus,Write address 0x0B ACK Protocol=Read word
