Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.220430166666667,SMBus,Command OptionalMfgFunction4 0x3C,,,,,,,,,,
0.220813583333333,SMBus,Byte count 0x04,,,,,,,,,,
0.221002083333333,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.221197,SMBus,Byte 0x2D ACK,,,,,,,,,,
0.221388666666667,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.221577166666667,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.221772,SMBus,PEC 0x0C OK,,,,,,,,,,
0.327066,SMBus,Write address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.327216166666667,SMBus,Command OptionalMfgFunction4 0x3C,,,,,,,,,,
0.327653833333333,SMBus,Read address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.327986166666667,SMBus,Byte count 0x10,,,,,,,,,,
0.328179,SMBus,Byte 0x4C ACK,,,,,,,,,,
0.328357583333333,SMBus,Byte 0x65 ACK,,,,,,,,,,
0.328537083333333,SMBus,Byte 0x6E ACK,,,,,,,,,,
0.328715666666667,SMBus,Byte 0x6F ACK,,,,,,,,,,
0.328895416666667,SMBus,Byte 0x76 ACK,,,,,,,,,,
0.329086166666667,SMBus,Byte 0x6F ACK,,,,,,,,,,
0.329265416666667,SMBus,Byte 0x20 ACK,,,,,,,,,,
0.32944425,SMBus,Byte 0x4A ACK,,,,,,,,,,
0.329623083333333,SMBus,Byte 0x61 ACK,,,,,,,,,,
0.329802333333333,SMBus,Byte 0x70 ACK,,,,,,,,,,
0.3299945,SMBus,Byte 0x61 ACK,,,,,,,,,,
0.330185416666667,SMBus,Byte 0x6E ACK,,,,,,,,,,
0.330335,SMBus,Byte 0x91 ACK,,,,,,,,,,
0.3305435,SMBus,Byte 0x2E ACK,,,,,,,,,,
0.330722833333333,SMBus,Byte 0x5D ACK,,,,,,,,,,
0.3308845,SMBus,Byte 0xE6 ACK,,,,,,,,,,
0.331085,SMBus,PEC 0x4B OK,,,,,,,,,,
0.332216166666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.332366333333333,SMBus,Command <error> 0x35,,,,,,,,,,
0.332740083333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.333007416666667,SMBus,Word 0xE000 ACK,,,,,,,,,,
0.333385583333333,SMBus,Bad PEC 0x74 should be 0x69,,,,,,,,,,
0.334657,SMBus,Write address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.334807166666667,SMBus,Command <error> 0x37,,,,,,,,,,
0.335168166666667,SMBus,Read address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.335564333333333,SMBus,Byte count 0x08,,,,,,,,,,
0.335756833333333,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.335935666666667,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.336114916666667,SMBus,Byte 0x07 ACK,,,,,,,,,,
0.33629375,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.336443583333333,SMBus,Byte 0xC2 ACK,,,,,,,,,,
0.336651583333333,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.336801416666667,SMBus,Byte 0xC2 ACK,,,,,,,,,,
0.337009666666667,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.33715925,SMBus,PEC 0xEC OK,,,,,,,,,,
0.338312,SMBus,Write address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.338462083333333,SMBus,Command OptionalMfgFunction5 0x2F,,,,,,,,,,
0.338848666666667,SMBus,Read address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.339168166666667,SMBus,Byte count 0x0B,,,,,,,,,,
0.339361166666667,SMBus,Byte 0x31 ACK,,,,,,,,,,
0.339552833333333,SMBus,Byte 0x5A ACK,,,,,,,,,,
0.339732083333333,SMBus,Byte 0x4A ACK,,,,,,,,,,
0.339910416666667,SMBus,Byte 0x33 ACK,,,,,,,,,,
0.340089166666667,SMBus,Byte 0x4A ACK,,,,,,,,,,
0.340268916666667,SMBus,Byte 0x31 ACK,,,,,,,,,,
0.340460666666667,SMBus,Byte 0x31 ACK,,,,,,,,,,
0.340651833333333,SMBus,Byte 0x4D ACK,,,,,,,,,,
0.340830666666667,SMBus,Byte 0x31 ACK,,,,,,,,,,
0.341009916666667,SMBus,Byte 0x32 ACK,,,,,,,,,,
0.341186583333333,SMBus,Byte 0x58 ACK,,,,,,,,,,
0.341360833333333,SMBus,PEC 0x25 OK,,,,,,,,,,
0.34243975,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.342589916666667,SMBus,Command OptionalMfgFunction2 0x3E,,,,,,,,,,
0.342950916666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.34321925,SMBus,Word 0x2100 ACK,,,,,,,,,,
0.343582833333333,SMBus,PEC 0x1B OK,,,,,,,,,,
0.344893416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.345043583333333,SMBus,Command OptionalMfgFunction1 0x3F,,,,,,,,,,
0.345404583333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.345672916666667,SMBus,Word 0x283F ACK,,,,,,,,,,
0.346037,SMBus,PEC 0x0D OK,,,,,,,,,,
0.347180916666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.347331083333333,SMBus,Command OptionalMfgFunction1 0x3F,,,,,,,,,,
0.347692083333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.3479605,SMBus,Word 0x283F ACK,,,,,,,,,,
0.348324666666667,SMBus,PEC 0x0D OK,,,,,,,,,,
0.349442916666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.349593083333333,SMBus,Command ManufacturerAccess 0x00,,,,,,,,,,
0.349954083333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.350222416666667,SMBus,Word 0x0210 ACK,,,,,,,,,,
0.350564916666667,SMBus,PEC 0x97 OK,,,,,,,,,,
0.351641,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.351791166666667,SMBus,Command BatteryStatus 0x16,,,,,,,,,,
0.352164916666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.352432166666667,SMBus,BatteryStatus 0x900A OVER CHARGED ALARM=1, TERMINATE CHARGE ALARM=0, OVER TEMP ALARM=1, TERMINATE DISCHARGE ALARM=0, REMAINING CAPACITY ALARM=0, REMAINING TIME ALARM=0, INITIALIZED=0, DISCHARGING=0, FULLY CHARGED=0, FULLY DISCHARGED=0, ErrorCode=ReservedCommand
0.3527975,SMBus,PEC 0x09 OK,,,,,,,,,,
0.354107416666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.354257583333333,SMBus,Command ChargingCurrent 0x14,,,,,,,,,,
0.354618583333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.354886916666667,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.355229416666667,SMBus,PEC 0xF2 OK,,,,,,,,,,
0.356292666666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.356442833333333,SMBus,Command ChargingVoltage 0x15,,,,,,,,,,
0.356829416666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.357097833333333,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.35744025,SMBus,PEC 0xE4 OK,,,,,,,,,,
0.35849075,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.358640916666667,SMBus,Command Temperature 0x08,,,,,,,,,,
0.35901475,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.359282166666667,SMBus,Word 0x890B ACK,,,,,,,,,,
0.359647,SMBus,PEC 0x47 OK,,,,,,,,,,
0.360688833333333,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.360839,SMBus,Command <error> 0x3B,,,,,,,,,,
0.3612,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.361467416666667,SMBus,Word 0x870B ACK,,,,,,,,,,
0.361832333333333,SMBus,PEC 0x02 OK,,,,,,,,,,
0.362874166666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.363024333333333,SMBus,Command Voltage 0x09,,,,,,,,,,
0.363385333333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.363653,SMBus,Word 0x8C1D ACK,,,,,,,,,,
0.364017666666667,SMBus,PEC 0x72 OK,,,,,,,,,,
0.365046666666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.365196833333333,SMBus,Command RemainingCapacity 0x0F,,,,,,,,,,
0.36553225,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.365800666666667,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.366164666666667,SMBus,PEC 0x1F OK,,,,,,,,,,
0.367231916666667,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
