Time [s], Analyzer Name, Decoded Protocol Result
0.293007166666667,SMBus,Byte 0x43 ACK
0.293190250000000,SMBus,PEC 0x03 OK
0.294359833333333,SMBus,Write address 0x0B ACK Protocol=Read word
0.294510000000000,SMBus,Command <error> 0x35
0.294877416666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.295151833333333,SMBus,Word 0xE000 ACK
0.295530083333333,SMBus,PEC 0x69 OK
0.296570666666667,SMBus,Write address 0x0B ACK Protocol=Block write
0.296720833333333,SMBus,Command <error> 0x37
0.297081916666667,SMBus,Read address 0x0B ACK Protocol=Block write
0.297478083333333,SMBus,Byte count 0x08
0.297671500000000,SMBus,Byte 0x01 ACK
0.297850333333333,SMBus,Byte 0x00 ACK
0.298029333333333,SMBus,Byte 0x07 ACK
0.298219833333333,SMBus,Byte 0x00 ACK
0.298370000000000,SMBus,Byte 0xC2 ACK
0.298578666666667,SMBus,Byte 0x01 ACK
0.298727833333333,SMBus,Byte 0xC2 ACK
0.298935750000000,SMBus,Byte 0x01 ACK
0.299085666666667,SMBus,PEC 0xEC OK
0.300238416666667,SMBus,Write address 0x0B ACK Protocol=Block write
0.300388583333333,SMBus,Command OptionalMfgFunction5 0x2F
0.300762333333333,SMBus,Read address 0x0B ACK Protocol=Block write
0.301081833333333,SMBus,Byte count 0x0B
0.301275500000000,SMBus,Byte 0x31 ACK
0.301466750000000,SMBus,Byte 0x5A ACK
0.301645083333333,SMBus,Byte 0x4A ACK
0.301824083333333,SMBus,Byte 0x33 ACK
0.302003666666667,SMBus,Byte 0x4A ACK
0.302182916666667,SMBus,Byte 0x31 ACK
0.302373666666667,SMBus,Byte 0x38 NACK
0.302471833333333,SMBus,Byte 0x26 NACK
0.302663500000000,SMBus,Byte 0x18 NACK
0.302855250000000,SMBus,Byte 0x19 ACK
0.303052166666667,SMBus,Byte 0x2C ACK
0.303231500000000,SMBus,Bad PEC 0x12 should be 0x8A
0.304366166666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.304516333333333,SMBus,Command OptionalMfgFunction2 0x3E
0.304877333333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.305145750000000,SMBus,Word 0x2100 ACK
0.305509416666667,SMBus,PEC 0x1B OK
0.306551500000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.306701666666667,SMBus,Command OptionalMfgFunction1 0x3F
0.307075416666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.307343833333333,SMBus,Word 0x283F ACK
0.307707750000000,SMBus,PEC 0x0D OK
0.308871000000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.309027500000000,SMBus,Command OptionalMfgFunction1 0x3F
0.309388500000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.309656916666667,SMBus,Word 0x283F ACK
0.310020750000000,SMBus,PEC 0x0D OK
0.311126500000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.311276666666667,SMBus,Command ManufacturerAccess 0x00
0.311637750000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.311906083333333,SMBus,Word 0x0210 ACK
0.312248500000000,SMBus,PEC 0x97 OK
0.313324583333333,SMBus,Write address 0x0B ACK Protocol=Read word
0.313474750000000,SMBus,Command BatteryStatus 0x16
0.313835750000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.314102833333333,SMBus,BatteryStatus 0x900A OVER CHARGED ALARM=1, TERMINATE CHARGE ALARM=0, OVER TEMP ALARM=1, TERMINATE DISCHARGE ALARM=0, REMAINING CAPACITY ALARM=0, REMAINING TIME ALARM=0, INITIALIZED=0, DISCHARGING=0, FULLY CHARGED=0, FULLY DISCHARGED=0, ErrorCode=ReservedCommand
0.314481083333333,SMBus,PEC 0x09 OK
0.315522666666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.315672833333333,SMBus,Command ChargingCurrent 0x14
0.316046666666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.316315000000000,SMBus,Word 0x0000 ACK
0.316657416666667,SMBus,PEC 0xF2 OK
0.317989083333333,SMBus,Write address 0x0B ACK Protocol=Read word
0.318139250000000,SMBus,Command ChargingVoltage 0x15
0.318513083333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.318781416666667,SMBus,Word 0x0000 ACK
0.319123916666667,SMBus,PEC 0xE4 OK
0.320187166666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.320337333333333,SMBus,Command Temperature 0x08
0.320698333333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.320965916666667,SMBus,Word 0x870B ACK
0.321309166666667,SMBus,PEC 0x91 OK
0.322385250000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.322535416666667,SMBus,Command <error> 0x3B
0.322909250000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.323176750000000,SMBus,Word 0x890B ACK
0.323545583333333,SMBus,PEC 0xD4 OK
0.324608916666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.324759083333333,SMBus,Command Voltage 0x09
0.325132833333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.325400333333333,SMBus,Word 0x8C1D ACK
0.325777666666667,SMBus,PEC 0x72 OK
0.326807000000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.326957166666667,SMBus,Command RemainingCapacity 0x0F
0.327305333333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.327573750000000,SMBus,Word 0x0000 ACK
0.327937500000000,SMBus,PEC 0x1F OK
0.328992250000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.329142416666667,SMBus,Command FullChargeCapacity 0x10
0.329503416666667,SMBus,Read address 0x0B ACK Protocol=Read word
0.329771833333333,SMBus,Word 0x0000 ACK
0.330114250000000,SMBus,PEC 0xAA OK
0.331203083333333,SMBus,Write address 0x0B ACK Protocol=Read word
0.331353250000000,SMBus,Command Current 0x0A
0.331727083333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.331995416666667,SMBus,Word 0x0000 ACK
0.332359666666667,SMBus,PEC 0x51 OK
0.333401166666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.333551333333333,SMBus,Command RunTimeToEmpty 0x11
0.333912333333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.334191166666667,SMBus,Word 0xFF7F NACK
0.334484416666667,SMBus,Bad PEC 0x4C should be 0x11
0.335599250000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.335749416666667,SMBus,Command AverageCurrent 0x0B
0.336123250000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.336398000000000,SMBus,Word 0x0000 ACK
0.336768166666667,SMBus,PEC 0x47 OK
0.339190250000000,SMBus,Write address 0x0B ACK Protocol=Read word
0.339340416666667,SMBus,Command AverageTimeToFull 0x13
0.339714250000000,SMBus,Read address 0x0B ACK Protocol=Read word
0.339981666666667,SMBus,Word 0xFFFF ACK
0.340325083333333,SMBus,PEC 0xB4 OK
0.341503416666667,SMBus,Write address 0x0B ACK Protocol=Read word
0.341653500000000,SMBus,Command AverageTimeToEmpty 0x12
0.342014583333333,SMBus,Read address 0x0B ACK Protocol=Read word
0.342282583333333,SMBus,Word 0xFFFF ACK
0.342638166666667,SMBus,PEC 0xA2 OK
0.343822916666667,SMBus,Write address 0x0B ACK Protocol=Read word
